-0.201,0.026,-0.339,0.053,8.2
-0.083,0.024,-0.201,0.026,12.3
0.002,0.04,-0.083,0.024,1.3
-0.033,0.034,0.002,0.04,-25.1
-0.183,0.014,-0.033,0.034,16.1
0.004,0.011,-0.183,0.014,9.5
0.068,0.038,0.004,0.011,-3.1
0.023,0.133,0.068,0.038,28.8
0.236,0.035,0.023,0.133,10.9
0.164,-0.002,0.236,0.035,0
0.226,-0.021,0.164,-0.002,3.5
0.353,-0.035,0.226,-0.021,8.6
0.175,-0.138,0.353,-0.035,6.4
0.262,-0.137,0.175,-0.138,-1.3
0.227,-0.111,0.262,-0.137,8.1
0.101,0.012,0.227,-0.111,-5.1
0.269,-0.093,0.101,0.012,11
0.134,-0.031,0.269,-0.093,2.9
0.354,0.219,0.134,-0.031,3.8
0.245,0.058,0.354,0.219,-15
0.049,-0.073,0.245,0.058,5.9
-0.022,-0.019,0.049,-0.073,-11.8
0.019,-0.1,-0.022,-0.019,8.5
0.08,-0.052,0.019,-0.1,-3.4
0.197,-0.087,0.08,-0.052,15.7
0.268,0.05,0.197,-0.087,-3.7
0.051,-0.064,0.268,0.05,0
0.136,-0.023,0.051,-0.064,-2.9
0.006,-0.091,0.136,-0.023,-0.8
0.031,-0.039,0.006,-0.091,-27.3
-0.111,-0.115,0.031,-0.039,-1.7
-0.049,0.022,-0.111,-0.115,-9.9
-0.05,0.078,-0.049,0.022,-9.6
-0.051,0.033,-0.05,0.078,0.9
-0.194,-0.02,-0.051,0.033,-21.6
-0.354,-0.087,-0.194,-0.02,9.9
-0.207,-0.124,-0.354,-0.087,2.2
-0.01,0.002,-0.207,-0.124,12
-0.091,0.016,-0.01,0.002,27.2
0.224,0.072,-0.091,0.016,26.5
0.371,0.192,0.224,0.072,-0.4
0.34,-0.022,0.371,0.192,0
0.517,-0.22,0.34,-0.022,2.9
0.21,0.011,0.517,-0.22,-2.1
0.273,-0.128,0.21,0.011,1.2
0.273,0.004,0.273,-0.128,10.4
0.273,-0.03,0.273,0.004,-3.7
0.177,-0.006,0.273,-0.03,-4.1
